city,branch_name,address,latitude,longitude
Quezon City,"Novaliches Sarmiento
","946 Quirino Highway corner Sarmiento Street, Barangay Novaliches Proper, Novaliches, Quezon City 1117
",,
Quezon City,"Ayala Malls Cloverleaf
","Space no. 123 & 124, Ground Floo, Ayala Malls Cloverleaf, Balintawak, Quezon City

",,
Quezon City,"Roosevelt - Munoz
","316 Roosevelt Ave, SFDM, Barangay San Antonio, Quezon City 1105
",,
Quezon City,"Novaliches Gen. Luis
","Gen Luis corner Gold Street, Millionaires Village, Barangay Novaliches Proper, Novaliches Quezon City 1123

",,
Quezon City,"Quezon Ave. EDSA
","G/F Triumph Square Building 1618 Quezon Ave South Triangle Quezon City 1103

",,
Quezon City,"Waltermart North EDSA
","G/F WMEDG 03, Waltermart North EDSA, Muñoz Brgy. Veterans, Quezon City 1105

",,
Quezon City,"Novaliches San Bartolome
","680 Quirino Highway, Barangay San Bartolome, Novaliches, Quezon City 1116

",,
Quezon City,"Cubao Aurora
","St. Anthony Bldg, Stella Maris Arcade, Aurora Blvd cor Cambridge, Brgy E. Rodriguez Cubao, Quezon City 1102

",,
Quezon City,"Broadway
","677 Aurora Blvd., Brgy. Mariana New Manila, Quezon City 1112

",,
Quezon City,"Ali Mall Cubao
","Space 2022 Level 2 Ali Mall Banking Center, Brgy. Socorro Cubao, Quezon City 1109

",,
Quezon City,"E. Rodriguez B.G. Belmonte
","1466 & 1468 E. Rodriguez Sr. Avenue corner Betty Go-Belmonte Street, Brgy. Immaculate Conception, Quezon City 1111

",,
Quezon City,"E.Rodriguez Welcome Rotonda","GF M1 Central Bldg, 18 E Rodriguez Sr Avenue cor Matimyas St, Brgy Don Manuel, Quezon City 1113

",,
Quezon City,"Aurora Boulevard
","719 Aurora Blvd, Brgy. Mariana, Quezon City 1112

",,
Quezon City,"Cubao Manhattan Parkview
","Space No. 20 Ground Floor Manhattan Parkview Retail, Gen. Roxas Avenue corner Gen. Romulo Street, Araneta Center, Brgy. Socorro Quezon City 1109

",,
Quezon City,"Araneta - E. Rodriguez
","486 G. Araneta Avenue, Brgy Dona Imelda, Quezon City 1113

",,
Quezon City,"St. Luke's
","St. Luke's Medical Center, 279 E. Rodriguez Sr. Ave, Brgy Kalusugan, Quezon City 1112

",,
Quezon City,"Cubao Gateway Mall
","G/F Gateway Mall, Gen. Malvar Ave., Araneta Center, Cubao, Brgy. Socorro Quezon City 1109

",,
Quezon City,"Cubao - F Castillo
","Cubao - P Tuazon 12th Ave.
",,
Quezon City,"Aurora - Hemady
","Santander Bldg. 711 Aurora Blvd corner Hemady Street, New Manila, Barangay Mariana, Quezon City 1112

",,
Quezon City,"Retiro Mayon
","NS Amoranto Cor. Mayon St., Brgy. NS Amoranto, La Loma, Quezon City 1114

",,
Quezon City,"Congressional Avenue
","G/F The Arete Square, Congressional Avenue, Brgy Bahay Toro Proj. 8 Quezon City 1106

",,
Quezon City,"Ayala Malls Vertis North
","Space R4-L1-041&042, Level 1, Vertis North, Phase 1&2 cor. North Ave., Brgy. Bagong Pag-asa, Quezon City ZIP CODE 1105

",,
Quezon City,"Tandang Sora
","397 Tandang Sora Avenue, Barangay Culiat, Quezon City
",,
Quezon City,"San Francisco Del Monte
","Araneta Avenue near corner Del Monte Avenue, Brgy Sienna, Quezon city

",,
Quezon City,"Retiro Kanlaon
","NS Amoranto Sr. Avenue cor. Kanlaon Street, Quezon City

",,
Quezon City,"Visayas Avenue
","46 Visayas Avenue, Brgy Vasra, Project 6, Quezon City 1100

",,
Quezon City,"Trinoma
","Space P1012E Level P1 Trinoma North Triangle, North Ave., corner EDSA, Brgy. Bagong Pag-asa, Quezon City 1105

",,
Quezon City,"Del Monte
","401 Del Monte Ave., Brgy Manresa, Quezon City

",,
Quezon City,"T Sora - Visayas Avenue
","243 Tandang Sora Avenue, Tandang Sora. Quezon City

",,
Quezon City,"Project 8 - Short Horn
","26 Shorthorn Street, Project 8, Barangay Bahay Toro, Quezon City 1106
",,
Quezon City,"Trinoma North
","Unit 1085-1086 Level M1, Trinoma, North Triangle, Brgy. Bagong Pag-asa Quezon City

",,
Quezon City,"Congressional Avenue Extension
","Lot 17 Block 5 Congressional Extension Avenue Barangay Culiat Quezon City Metro Manila

",,
Caloocan,"Caloocan Camarin Susano
","Unit 1 Ground Floor, Aryanna Village Center, Brgy 175, Susano Road, Camarin, Caloocan City 1400",,
Caloocan,"Grace Park 2nd Ave.
","Ever Pacific Bldg 191-193 Rizal Ave.(bet. 1st & 2nd Ave.), Barangay 41 Zone 2 Gracepark, Caloocan City

",,
Caloocan,"Grace Park 11th Ave
","690 Rizal Ave. Extension (bet 10th & 11th Ave.), Brgy. 91, Grace Park, Caloocan City

",,
Caloocan,"C3 A Mabini
","193 A. MABINI ST., BRGY 30, MAYPAJO, CALOOCAN CITY

",,
Caloocan,"Monumento Circle
","357 A Bonifacio Ave., Monumento Circle Caloocan City

",,
Caloocan,"Caloocan
","1350-1352 Rizal Ave Extn ( between 6th & 7th Ave.), Brgy. 110 Gracepark, Caloocan City 1400

",,
Caloocan,"EDSA-Balintawak
","Ground Floor, PPI Bldg., 355 EDSA cor. Gen. Tirona Street, Caloocan City

",,
Caloocan,"Monumento
","Samson Road near cor. Araneta Ave., Brgy. 77, Caloocan City

",,
Caloocan,"EDSA - Monumento
","MCU Compound, EDSA Monumento, Barangay 84, Caloocan City 1400

",,
Makati City,"Glorietta Mall Ground Level
","G/F Unit 1086 Glorietta Mall, Ayala Center, Brgy. San Lorenzo, Makati

",,
Makati City,"Ayala Avenue SGV
","SGV Building II, 6758 Ayala Avenue, Brgy. San Lorenzo, Makati City 1226

",,
Makati City,"Ayala Insular
","6781 Insular Life Building Ayala Avenue corner Paseo De Roxas, Brgy. Bel-Air, Makati City

",,
Makati City,"Ayala East
","G/F Ayala Life FGU Center, 6811 Ayala Ave. Brgy. Bel-Air, Makati City

",,
Makati City,"Ayala Nex Tower
","Ground Floor, NEX Tower, 6786 Ayala Avenue, Makati City

",,
Makati City,"Ayala Triangle
","G/F Tower One & Exchange Plaza, Ayala Triangle, Ayala Ave. Brgy. Bel-air, Makati City

",,
Makati City,"Ayala 6750
","G/F Ayala Office Tower, 6750 Ayala Avenue, Makati City

",,
Makati City,"Rufino Towers
","G/F Rufino Tower Bldg, Ayala Ave cor V.A. Rufino St, Brgy. San Lorenzo, Makati City 1226

",,
Makati City,"Ayala North Exchange
","Ground Floor, Ayala North Exchange, Ayala Avenue. corner Amorsolo and Salcedo Streets, San Lorenzo, Makati City

",,
Makati City,"One Ayala
","Lower Ground Floor, One Ayala, Ayala center Makati City

",,
Makati City,"Glorietta Mall Third Floor
","3rd Level Unit 3006 Glorietta Mall 2 Ayala Center, Brgy San Lorenzo, Makati City
",,
Makati City,"Makati Main
","G/F Makati Stock Exchange Bldg Ayala Ave Brgy Bel-Air Makati City 1226

",,
Makati City,"Legaspi Salcedo
","G/F State Condominium 1 Building, 186 Salcedo Street, Legaspi Village, Brgy. San Lorenzo, Makati City 1229

",,
Makati City,"Legaspi Columns
","G/F Tower 1 The Columns, Legaspi Village, Amorsolo St. corner Arnaiz Ave., Legaspi Village, Brgy. San Lorenzo, Makati City 1223

",,
Makati City,"Legaspi-Gamboa
","223 Salcedo Bldg,   223 Salcedo Street corner Gamboa Street,  Brgy. San Lorenzo, Makati City

",,
Makati City,"Greenbelt 5
","Lower G/F, Greenbelt 5, Ayala Center, Legaspi Street, Brgy. San Lorenzo, Makati City 1226

",,
Makati City,"The Enterprise Center
","G/F Tower 2, The Enterprise Center, 6766 Ayala Avenue corner Paseo de Roxas, Brgy. San Lorenzo, Makati 1226

",,
Makati City,"Paseo Legaspi
","111 Paseo De Roxas Bldg., Paseo De Roxas corner Legaspi Street, Brgy. San Lorenzo, Makati City 1229

",,
Makati City,"Dela Rosa Solaris One
","G/F Solaris One Bldg. Dela Rosa Street Legaspi Village, Brgy. San Lorenzo, Makati City

",,
Makati City,"Medical Plaza - Makati
","G/F Unit 102 Medical Plaza Bldg. Amorsolo cor Dela Rosa St. Legaspi Village, Brgy. San Lorenzo, Makati City 1229

",,
Makati City,"Corinthian Plaza
","G/F Corinthian Plaza Bldg., 121 Paseo De Roxas, Brgy. San Lorenzo, Makati 1223

",,
